[TOURNAMENT]
//Name, Number of Sets, Set Type, Last Set Type
Torneio Exemplo,1,NormalSet,MatchTieBreak

[CATEGORIES]
//Name, Category Type, Match Type, Is Groups Finished, Random Doubles, Initialized
1a Classe Simples,SingleElimination,Single,,
2a Classe Simples,Groups,Single,,
3a Classe Simples,RoundRobin,Single,,
4a Classe Simples,Groups,Single,,

[PLAYERS]
//Name, Category, Seed Number, Is Seed
Player A,1a Classe Simples,1,True
Player B,1a Classe Simples,2,True
Player C,1a Classe Simples,3,True
Player D,1a Classe Simples,0,False
Player E,1a Classe Simples,0,False
Player F,1a Classe Simples,0,False
Player G,1a Classe Simples,0,False
Player H,1a Classe Simples,0,True

PlayerA,2a Classe Simples,1,True
PlayerB,2a Classe Simples,2,True
PlayerC,2a Classe Simples,3,True
PlayerD,2a Classe Simples,0,False
PlayerE,2a Classe Simples,0,False
PlayerF,2a Classe Simples,0,False
PlayerG,2a Classe Simples,0,False

PlayerA,3a Classe Simples,1,True
PlayerB,3a Classe Simples,2,True
PlayerC,3a Classe Simples,0,False
PlayerD,3a Classe Simples,0,False
PlayerE,3a Classe Simples,0,False

PlayerA,4a Classe Simples,1,True
PlayerB,4a Classe Simples,2,True
PlayerC,4a Classe Simples,0,False
PlayerD,4a Classe Simples,0,False
PlayerE,4a Classe Simples,0,False
PlayerF,4a Classe Simples,0,False
PlayerG,4a Classe Simples,0,False
PlayerH,4a Classe Simples,0,True
PlayerI,4a Classe Simples,0,False

[GROUPS]
//Category, Group, Player
2a Classe Simples,1,PlayerA
2a Classe Simples,1,PlayerC
2a Classe Simples,1,PlayerD

2a Classe Simples,2,PlayerB
2a Classe Simples,2,PlayerE
2a Classe Simples,2,PlayerF
2a Classe Simples,2,PlayerG

4a Classe Simples,1,PlayerA
4a Classe Simples,1,PlayerE
4a Classe Simples,1,PlayerD

4a Classe Simples,2,PlayerB
4a Classe Simples,2,PlayerI
4a Classe Simples,2,PlayerC

4a Classe Simples,3,PlayerH
4a Classe Simples,3,PlayerG
4a Classe Simples,3,PlayerF

[MATCHES]
//Category, Key, Player 1, Player 2, Score, Score Type, Sets, Set Type, Last Set Type, Is Team 1 Set, Is Team 2 Set
1a Classe Simples,004FP001,Player A,Player G,6x0,Normal,,,,True,True
1a Classe Simples,004FP002,Player E,Player H,5x7,Normal,,,,True,True
1a Classe Simples,004FP003,Player C,Player F,,,,,,True,True
1a Classe Simples,004FP004,Player D,Player B,,,,,,True,True
1a Classe Simples,002FP001,Player A,Player H,,,,,,True,True
1a Classe Simples,002FP002,None,None,,,,,,,
1a Classe Simples,001FP001,None,None,,,,,,,

2a Classe Simples,001GR001,PlayerA,PlayerC,6x0,Normal,,,,True,True
2a Classe Simples,001GR002,PlayerA,PlayerD,6x0,Normal,,,,True,True
2a Classe Simples,001GR003,PlayerC,PlayerD,6x0,Normal,,,,True,True
2a Classe Simples,002GR001,PlayerB,PlayerE,6x3,Normal,,,,True,True
2a Classe Simples,002GR002,PlayerB,PlayerF,,,,,,True,True
2a Classe Simples,002GR003,PlayerB,PlayerG,,,,,,True,True
2a Classe Simples,002GR004,PlayerE,PlayerF,,,,,,True,True
2a Classe Simples,002GR005,PlayerE,PlayerG,,,,,,True,True
2a Classe Simples,002GR006,PlayerF,PlayerG,,,,,,True,True
2a Classe Simples,002FP001,None,None,,,,,,,
2a Classe Simples,002FP002,None,None,,,,,,,
2a Classe Simples,001FP001,None,None,,,,,,,

3a Classe Simples,010GU001,PlayerA,PlayerB,,,,,,True,True
3a Classe Simples,010GU002,PlayerA,PlayerC,,,,,,True,True
3a Classe Simples,010GU003,PlayerA,PlayerD,,,,,,True,True
3a Classe Simples,010GU004,PlayerA,PlayerE,,,,,,True,True
3a Classe Simples,010GU005,PlayerB,PlayerC,,,,,,True,True
3a Classe Simples,010GU006,PlayerB,PlayerD,,,,,,True,True
3a Classe Simples,010GU007,PlayerB,PlayerE,,,,,,True,True
3a Classe Simples,010GU008,PlayerC,PlayerD,,,,,,True,True
3a Classe Simples,010GU009,PlayerC,PlayerE,,,,,,True,True
3a Classe Simples,010GU010,PlayerD,PlayerE,,,,,,True,True

4a Classe Simples,001GR001,PlayerA,PlayerE,6x0,Normal,,,,True,True
4a Classe Simples,001GR002,PlayerA,PlayerD,6x0,Normal,,,,True,True
4a Classe Simples,001GR003,PlayerE,PlayerD,6x0,Normal,,,,True,True
4a Classe Simples,002GR001,PlayerB,PlayerI,6x2,Normal,,,,True,True
4a Classe Simples,002GR002,PlayerB,PlayerC,6x2,Normal,,,,True,True
4a Classe Simples,002GR003,PlayerI,PlayerC,6x2,Normal,,,,True,True
4a Classe Simples,003GR001,PlayerH,PlayerG,6x4,Normal,,,,True,True
4a Classe Simples,003GR002,PlayerH,PlayerF,6x4,Normal,,,,True,True
4a Classe Simples,003GR003,PlayerG,PlayerF,,,,,,True,True
4a Classe Simples,004FP001,None,None,,,,,,,
4a Classe Simples,004FP002,None,None,,,,,,,
4a Classe Simples,004FP003,None,None,,,,,,,
4a Classe Simples,004FP004,None,None,,,,,,,
4a Classe Simples,002FP001,None,None,,,,,,,
4a Classe Simples,002FP002,None,None,,,,,,,
4a Classe Simples,001FP001,None,None,,,,,,,
